strain	date	genbank	region	country	division	location	host_type	genotype	host	source	latitude	longitude	authors
GU131841|Venezuela|Venezuela_Aragua|2007	2007	GU131841	International	Venezuela	International	International	Human	V	Homo sapiens	NCBI	8.0018709	-66.1109318	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Camacho,D., De Quintana,M.C., Chiarello,A., Jimenez,M., Rojas,E., Villalobos,I., Nusbaum,C., Bosch,I., Birren,B.
GU131842|Venezuela|Venezuela_Aragua|2007	2007	GU131842	International	Venezuela	International	International	Human	V	Homo sapiens	NCBI	8.0018709	-66.1109318	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Camacho,D., De Quintana,M.C., Chiarello,A., Jimenez,M., Rojas,E., Villalobos,I., Nusbaum,C., Bosch,I., Birren,B.
GQ868498|Mexico|Mexico_Yucatan|2006	2006	GQ868498	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868499|Mexico|Mexico_QuintanaRoo|2006	2006	GQ868499	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868500|Mexico|Mexico_Yucatan|2007	2007	GQ868500	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868501|Mexico|Mexico_Yucatan|2007	2007	GQ868501	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868502|Mexico|Mexico_Yucatan|2007	2007	GQ868502	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868503|Mexico|Mexico_Yucatan|2007	2007	GQ868503	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868504|Mexico|Mexico_Yucatan|2007	2007	GQ868504	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868505|Mexico|Mexico_Yucatan|2007	2007	GQ868505	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868506|Mexico|Mexico_Yucatan|2007	2007	GQ868506	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868507|Mexico|Mexico_Yucatan|2007	2007	GQ868507	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868508|Mexico|Mexico_Yucatan|2007	2007	GQ868508	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868509|Mexico|Mexico_Yucatan|2007	2007	GQ868509	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868510|Mexico|Mexico_Yucatan|2007	2007	GQ868510	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868511|Mexico|Mexico_Yucatan|2007	2007	GQ868511	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868512|Mexico|Mexico_Yucatan|2007	2007	GQ868512	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868513|Mexico|Mexico_Yucatan|2007	2007	GQ868513	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868514|Mexico|Mexico_Yucatan|2007	2007	GQ868514	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868517|Mexico|Mexico_Yucatan|2007	2007	GQ868517	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868518|Mexico|Mexico_Yucatan|2007	2007	GQ868518	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868519|Mexico|Mexico_Yucatan|2007	2007	GQ868519	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868520|Mexico|Mexico_Yucatan|2007	2007	GQ868520	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868521|Mexico|Mexico_Yucatan|2007	2007	GQ868521	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868522|Mexico|Mexico_Yucatan|2007	2007	GQ868522	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868523|Mexico|Mexico_Yucatan|2007	2007	GQ868523	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868524|Mexico|Mexico_Yucatan|2007	2007	GQ868524	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868525|Mexico|Mexico_Yucatan|2007	2007	GQ868525	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868526|Mexico|Mexico_Yucatan|2007	2007	GQ868526	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868527|Mexico|Mexico_Yucatan|2007	2007	GQ868527	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
GQ868528|Mexico|Mexico_Yucatan|2007	2007	GQ868528	International	Mexico	International	International	Human	V	Homo sapiens	NCBI	19.4326296	-99.1331785	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Comach,G., De Bosch,N., Rothman,A., Lorono-Pino,M.A., Farfan-Ale,J.A., Diaz,F., Garcia-Rejon,J.E., Eisen,L., Beaty,B.J., Nusbaum,C., Bosch,I., Birren,B.
